44.80,-96.70,wtt,wtt
43.50,-95.60,che,che
42.00,-95.00,crl,crl
40.90,-92.80,aia,aia
42.50,-104.40,lus,lus
42.30,-102.40,ath,ath
42.60,-99.90,aih,aih
40.20,-92.60,kkl,kkl
48.31,-105.10,fpk,fpk
40.13,-105.24,tbl,tbl
42.86,-100.41,v#l,v0l
40.69,-94.47,rdd,rdd
45.27,-103.54,bh1,bh1
44.79,-104.73,bh2,bh2
44.46,-103.85,bh3,bh3
43.35,-104.69,bh4,bh4
43.53,-103.65,bh5,bh5
45.50,-95.90,mrs,mrs
44.10,-93.50,wsc,wsc
47.18,-87.22,stdm,stdm
42.97,-88.55,kmkx,kmkx
44.05,-101.60,php,php
41.59,-95.34,hnr,---
43.78,-87.85,ksbm,---
47.61,-103.26,c02,c02
49.00,-104.00,c21,c21
47.50,-99.00,c22,c22
46.20,-97.50,c23,c23
46.00,-95.00,c24,c24
40.32,-98.44,hsi,hsi
48.50,-101.40,kmib,kmib
48.76,-104.52,pwd,pwd
46.37,-104.28,bhk,bhk
48.06,-87.78,ls1,ls1
47.32,-89.87,ls3,ls3
42.67,-87.02,lm2,lm2
46.02,-91.45,hyr,hyr
41.98,-87.90,kord,kord
41.92,-88.25,kdpa,kdpa
40.03,-88.28,kcmi,kcmi
40.66,-89.68,kpia,kpia
41.62,-87.42,kgyy,kgyy
41.78,-87.75,kmdw,kmdw
41.87,-87.60,kcgx,kcgx
47.45,-87.90,kp59,kp59
42.20,-89.10,krfd,krfd
41.45,-90.52,kmli,kmli
41.88,-91.70,kcid,kcid
40.78,-91.13,kbrl,kbrl
41.53,-93.65,kdsm,kdsm
41.10,-92.45,kotm,kotm
42.40,-90.70,kdbq,kdbq
42.55,-92.40,kalo,kalo
43.15,-93.33,kmcw,kmcw
41.30,-95.90,koma,koma
40.84,-96.75,klnk,klnk
40.97,-98.32,kgri,kgri
40.08,-95.60,fnb,---
41.98,-97.43,kofk,kofk
42.40,-96.38,ksux,ksux
41.32,-96.37,oax,oax
41.10,-102.98,sny,sny
41.13,-100.68,klbf,klbf
42.83,-103.10,kcdr,kcdr
41.15,-104.82,kcys,kcys
41.32,-105.67,klar,klar
41.87,-103.60,kbff,kbff
42.95,-87.90,kmke,kmke
43.13,-89.33,kmsn,kmsn
43.87,-91.25,klse,klse
44.87,-91.48,keau,keau
43.92,-92.50,krst,krst
44.48,-88.13,kgrb,kgrb
43.98,-88.55,kosh,kosh
44.93,-89.63,kauw,kauw
44.78,-89.67,kcwa,kcwa
45.73,-87.08,kesc,kesc
45.12,-87.63,kmnm,kmnm
44.85,-93.57,mpx,mpx
43.58,-96.73,kfsd,kfsd
42.92,-97.38,kykn,kykn
43.80,-99.32,k9v9,k9v9
44.38,-98.22,khon,khon
43.77,-98.03,kmhe,kmhe
44.92,-97.15,katy,katy
45.55,-94.07,stc,stc
46.40,-94.13,kbrd,kbrd
44.55,-95.08,krwf,krwf
45.87,-95.40,kaxn,kaxn
44.88,-93.22,kmsp,kmsp
44.95,-93.07,kstp,kstp
43.65,-94.42,kfrm,kfrm
45.45,-98.43,kabr,kabr
44.05,-103.07,krap,krap
44.35,-105.53,kgcc,kgcc
45.45,-105.40,4bq,4bq
47.13,-104.80,gdv,gdv
45.53,-100.43,ky26,ky26
44.38,-100.28,kpir,kpir
45.93,-102.17,ky22,ky22
45.63,-89.47,rhi,rhi
46.53,-87.55,kmqt,kmqt
46.35,-87.40,saw,saw
45.82,-88.12,imt,imt
47.17,-88.50,kcmx,kcmx
46.53,-90.13,kiwd,kiwd
46.83,-92.18,kdlh,kdlh
47.38,-92.83,khib,khib
47.82,-91.83,kelo,kelo
48.57,-93.38,kinl,kinl
48.73,-94.62,kbde,kbde
46.90,-96.80,kfar,kfar
46.93,-98.68,kjms,kjms
47.50,-94.93,kbji,kbji
48.93,-95.33,krad,krad
47.95,-97.18,kgfk,kgfk
48.10,-98.87,kp11,kp11
46.77,-100.75,kbis,kbis
46.80,-102.80,kdik,kdik
48.18,-103.63,kisn,kisn
48.27,-101.28,kmot,kmot
47.70,-104.20,ksdy,ksdy
46.43,-105.87,kmls,kmls
44.67,-95.45,p#3,p03
43.22,-90.53,p#4,p04
40.09,-100.65,p#6,p06
42.91,-101.69,p#7,p07
40.10,-97.34,p#8,p08
42.21,-97.79,p#9,p09
41.90,-93.70,p#a,p0a
41.61,-90.57,dvn,dvn
40.81,-87.05,p#b,p0b
40.18,-104.72,p#d,p0d
40.15,-89.33,ilx,ilx
